Label,MPID
ARCA,ARCA
BNYC,BNYC
CDRG,CDRG
CITI,CITI
DBAB,DBAB
EDGX,EDGX
G1ES,G1ES
JRCO,JRCO
SGMA,SGMA
UBSS,UBSS
VRTU,VRTU
WOLV,WOLV
CITADEL SECURITIES LLC,CDRG
Citadel Execution Services,CDRG
Citadel Securities,CDRG
Citadel Execution Service,CDRG
TVIRT,VRTU
VIRTU FINANCIAL CAPITAL MARKETS LLC,VRTU
VIRTU Americas LLC,VRTU
KEDGK,EDGX
UBS Securities LLC,UBSS
TUBSS,UBSS
UBS,UBSS
Two Sigma,SGMA
TSOHO,SGMA
"Two Sigma Securities, LLC",SGMA
G1X,G1ES
TETMM,G1ES
G1 Execution Services,G1ES
TSBSH,CITI
Citi Order Routing & Exec LLC,CITI
TWSEA,WOLV
PARCAX,ARCA
Cantor Fitzgerald&Co,CFCO
Auto Trading Desk Fin Svc,ATDF
Citigroup Global Markets,CITI
DirectEdge ECN (EDGA),EDGA
BATS Stock Exchange,BATS
BATS Y Exchange,BATS
BNY MELLON CAPITAL MARKET,BNYC
"Goldman, Sachs & Co",GS
J.P.Morgan Securities LLC,JPMS
KCG Americas LLC,KCG
NYSE Arca,ARCA
Virtu Financial Capital,VRTU
TGSCO,GS
Deutsche Bank ATS,DBAB


