Broker,Exchange,OrderType,Quarter,Rebate,MarketCenter,MktShare,Rebate_Dummy,Obs_id
AXA,NASDAQ,Limit,2014Q1,0.0,ATDF,0.1601,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q1,0.0,CDRG,0.1997,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q1,0.0,FBCO,0.1205,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q1,0.0,G1ES,0.0293,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q1,0.0,KCG,0.4148,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,ATDF,0.2115,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,CDRG,0.1906,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,FBCO,0.1436,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,G1ES,0.0653,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,KCG,0.3159,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,ATDF,0.16699999999999998,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,CDRG,0.1613,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,FBCO,0.0588,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,G1ES,0.2372,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,KCG,0.2676,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,UBSS,0.09300000000000001,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,ATDF,0.1795,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,CDRG,0.1575,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,CFCO,0.0201,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,FBCO,0.1172,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,G1ES,0.1905,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,KCG,0.2912,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,UBSS,0.044000000000000004,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,ATDF,0.1135,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,CDRG,0.0998,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,CFCO,0.0528,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,G1ES,0.2524,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,KCG,0.3405,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,UBSS,0.0607,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,ATDF,0.1163,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,CDRG,0.2035,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,CFCO,0.0717,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,G1ES,0.2694,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,KCG,0.2171,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,UBSS,0.0698,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q3,0.0,ATDF,0.1272,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q3,0.0,CDRG,0.2124,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q3,0.0,CFCO,0.1178,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q3,0.0,G1ES,0.2934,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q3,0.0,KCG,0.1682,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q4,0.0,ATDF,0.0997,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q4,0.0,CDRG,0.1887,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q4,0.0,CFCO,0.066,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q4,0.0,G1ES,0.3006,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q4,0.0,KCG,0.2316,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q1,0.0,ATDF,0.1023,0,AXA-ATDF-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q1,0.0,CDRG,0.3247,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q1,0.0,CFCO,0.0779,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q1,0.0,G1ES,0.1753,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q1,0.0,KCG,0.2614,0,AXA-KCG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,CDRG,0.1537,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,CFCO,0.0866,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,CITI,0.0556,0,AXA-CITI-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,G1ES,0.3243,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,SGMA,0.0788,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,UBSS,0.0284,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q2,0.0,VRTU,0.2623,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,CDRG,0.1648,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,CFCO,0.0774,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,G1ES,0.3481,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,SGMA,0.1103,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q3,0.0,VRTU,0.235,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,CDRG,0.1616,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,CFCO,0.0343,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,G1ES,0.2545,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,SGMA,0.0707,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,UBSS,0.0525,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2016Q4,0.0,VRTU,0.3899,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,CDRG,0.125,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,CFCO,0.0236,0,AXA-CFCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,G1ES,0.2855,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,SGMA,0.1723,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q1,0.0,VRTU,0.3243,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,CDRG,0.2178,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,G1ES,0.27399999999999997,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,SGMA,0.2214,0,AXA-SGMA-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q2,0.0,VRTU,0.1996,0,AXA-VRTU-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,CDRG,0.3174,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2017Q3,0.0,CFCO,0.0335,0,AXA-CFCO-NASDAQ-Limit
